,Training Results
name,wallclock
kind,regression
scores,"{'train_acc': 0.0, 'train_loss': 463868.38, 'test_acc': 0.0, 'test_loss': 595691.62}"
predictions,"[[3611.43 3848.  ]
 [  50.02   41.  ]
 [  38.19   28.  ]
 ...
 [1733.71 1326.  ]
 [1733.71 2504.  ]
 [ 854.36  751.  ]]"
