,Training Results
name,memory
kind,regression
scores,"{'train_acc': 0.0, 'train_loss': 0.2, 'test_acc': 0.0, 'test_loss': 0.23}"
predictions,"[[1.   1.02]
 [1.   1.03]
 [0.84 0.86]
 ...
 [1.01 1.03]
 [0.82 0.84]
 [0.52 0.48]]"
