ipst,wallclock
ie8d02npq,505.0
icv101bpq,777.0
ibxa73jfq,174.0
lb5502o4q,29.0
ic3g05t5q,406.0
la8mlvouq,361.0
iduy18q5q,556.0
ice1a1kjq,756.0
ibbsq5010,540.0
icpg14faq,50.0
icir03j3q,676.0
ibf013030,2003.0
la8016fbq,26.0
idme01u6q,62.0
iboi6dg6q,1180.0
idzh02010,1077.0
iac571bmq,1351.0
idy602dfq,140.0
ic2821010,3051.0
icq144g4q,34.0
icdm79040,2370.0
idgbd5020,2513.0
j8iva1r3q,30.0
iaan07n4q,1442.0
idus08tcq,175.0
icwz46020,1308.0
ic3m10dyq,766.0
idor070a0,328.0
ibcdb1150,262.0
iehl05q8q,157.0
icq110a5q,35.0
ie1q35ijq,221.0
idor10060,338.0
idgv02010,6203.0
ic3s81f4q,192.0
idc70ufhq,284.0
ibcz21drq,280.0
id0i3c010,2058.0
ic0582010,4444.0
idq2bvreq,1261.0
ibtx93zqq,33.0
ieg627yoq,2023.0
ic3g01qvq,229.0
lbnj04d4q,34.0
o57207010,68.0
icyr1f010,278.0
idc977010,2152.0
ico501lzq,31.0
icft95emq,575.0
ib913b010,958.0
iac785prq,41.0
idov0ee3q,39.0
ib2k23ryq,60.0
idtl01050,375.0
idov35m4q,37.0
ics328d8q,1494.0
iboe3fuvq,197.0
o48z30020,57.0
idbha9030,131.0
id3z04ccq,39.0
iehl04odq,154.0
ic0554g4q,877.0
j90zp1010,115.0
ibs320030,3252.0
idsr05xxq,222.0
idme01t6q,41.0
idxf45020,9928.0
idb711owq,200.0
id5901eqq,484.0
ic6xdchdq,145.0
icas26010,2099.0
icq187y7q,22.0
icq92n010,2007.0
ie8d06siq,448.0
ib915h010,874.0
ibsl25040,111.0
ib8cadefq,1060.0
idg233mqq,166.0
ibtq21gfq,575.0
ie4n0y030,3231.0
idci01czq,3580.0
ob1001atq,19.0
ibld48daq,37.0
ice039k2q,43.0
idr104i8q,163.0
ibcna3avq,650.0
ibt2b8030,138.0
ibct11azq,33.0
ieb349020,1646.0
ieec67020,2004.0
ib91mi010,1537.0
ibcx01hjq,1173.0
idju04020,2448.0
idiq06010,4862.0
ic5z06dtq,204.0
ie0l23orq,49.0
id9o46zcq,69.0
ibtp20mkq,709.0
ibcd05010,439.0
ics462h4q,612.0
ie1834010,1883.0
icpf07u9q,44.0
icii47xtq,782.0
ie0d14brq,32.0
idmg04m1q,97.0
idns59010,2438.0
ic5s15030,291.0
ie184kntq,820.0
id9o17ubq,66.0
iehl05pzq,182.0
ie4n13040,2283.0
idkv22010,568.0
o46j01040,38.0
ieg812nsq,183.0
icii17byq,760.0
ibe405fhq,526.0
iacd02neq,734.0
idkv20020,655.0
j8i0cllpq,1912.0
ichda9g8q,142.0
idca51z8q,801.0
icau23jaq,1882.0
icml03030,2710.0
ib2k58zkq,168.0
ibfs04040,2436.0
ic5z03h3q,188.0
id8i09dpq,674.0
ib2kacuyq,149.0
idux17j7q,2090.0
id9909akq,437.0
iege07080,307.0
idwi07010,2154.0
ibu94p010,2606.0
o4k19e020,48.0
idgga1s9q,690.0
id9o45csq,365.0
ibct4rulq,32.0
o4fo721k0,60.0
ibcf13b3q,27.0
ibl753awq,61.0
ie1h74y1q,434.0
ie1t02bhq,34.0
o4j801160,47.0
ib91qj010,668.0
idw1050f0,443.0
ids0c0i7q,152.0
idg211guq,393.0
ice134x7q,887.0
idp625phq,1757.0
ibwe08030,128.0
idew01030,2220.0
ice00daqq,34.0
ido214030,1430.0
ie1u0h020,348.0
o58oa80y0,59.0
iegj3lwhq,912.0
iciie4saq,692.0
idy63zoiq,138.0
ibu9e9010,2571.0
ie1331m6q,2443.0
ibwk04b5q,40.0
icg901c9q,63.0
ids0h0j1q,97.0
ichf03beq,1149.0
ibcd61120,294.0
idg204quq,324.0
ibcx04fzq,1224.0
idmg05woq,125.0
idg267gmq,61.0
icn806twq,1154.0
ic0577awq,802.0
ic8n28ckq,91.0
ibfd16040,2164.0
icr304flq,202.0
iby839010,101.0
o6fn010c0,51.0
idnza3saq,58.0
ic5lj3ufq,34.0
ic8k05010,264.0
ib9j1csmq,931.0
idwg0zi8q,383.0
idy655kxq,92.0
ibe213x1q,675.0
idy61rsqq,201.0
icrn10010,51.0
ibjb10k6q,194.0
ibsm21060,101.0
ic5m5h010,1589.0
icfc55010,1592.0
ibu836ncq,26.0
iby816010,135.0
ibct1mccq,23.0
ibcna1xtq,53.0
