,Training Results
name,memory
kind,regression
scores,"{'train_acc': 0.0, 'train_loss': 0.39, 'test_acc': 0.0, 'test_loss': 0.39}"
predictions,"[[0.39 0.45]
 [1.15 0.68]
 [1.81 2.06]
 ...
 [0.83 0.87]
 [0.87 1.11]
 [0.52 0.49]]"
