,Training Results
name,wallclock
kind,regression
scores,"{'train_acc': 0.0, 'train_loss': 640749.5, 'test_acc': 0.0, 'test_loss': 271468.16}"
predictions,"[[152.31 191.  ]
 [ 50.57  62.  ]
 [ 39.9   35.  ]
 ...
 [ 35.29  43.  ]
 [ 90.8  110.  ]
 [958.45 506.  ]]"
