dtype,total_mb,subarray,detector,crsplit,x_size,pctecorr,mem_bin,memory,instr,drizcorr,wallclock,n_files,timestamp,x_files,ipst
0,0.0,0,0,0,-1.3498008528204737,0,0,0.46222399999999997,1,0,20.0,2,1620740441,-0.28988624880095043,lb1a01r8q
0,0.0,0,0,0,-1.3498008528204737,0,0,0.461696,1,0,18.0,2,1620740441,-0.28988624880095043,la9r01cbq
0,1.0,1,0,0,-0.8807389346057599,0,0,0.45542,1,0,23.0,2,1620740441,-0.28988624880095043,la9k03a1q
0,24.0,0,0,0,0.7026029302238583,0,0,0.5837760000000001,3,1,72.0,2,1620740441,-0.28988624880095043,ib2k0tbvq
1,2.0,0,0,0,-0.6134846679631814,0,0,1.541716,1,0,172.0,7,1620740441,1.8053906355027929,la9t24050
0,34.0,0,1,2,0.8994476926639713,1,1,2.044852,0,1,2496.0,2,1620740441,-0.28988624880095043,j8i0c5qpq
0,34.0,0,1,2,0.8994476926639713,1,1,2.05908,0,1,1778.0,2,1620740441,-0.28988624880095043,j8i0coslq
0,0.0,0,0,0,-1.3498008528204737,0,0,0.45598,1,0,9.0,2,1620740441,-0.28988624880095043,lb1405ecq
0,1.0,1,1,2,-0.8807389346057599,1,0,1.113976,3,1,136.0,2,1620740441,-0.28988624880095043,ico801zmq
0,34.0,0,1,2,0.8994476926639713,1,1,2.0455520000000003,0,1,1729.0,2,1620740441,-0.28988624880095043,j8i0b4siq
0,0.0,1,0,0,-1.3498008528204737,0,0,0.46245200000000003,1,0,19.0,2,1620740441,-0.28988624880095043,lb2403pbq
0,2.0,1,0,0,-0.6134846679631814,0,0,0.46356800000000004,3,0,17.0,2,1620740441,-0.28988624880095043,ibcu9qa2q
1,119.1,0,0,0,1.5942686052176958,0,0,1.34,3,1,155.0,5,1620740441,1.4770334018512739,ia2k14020
0,34.3,0,1,2,0.9043997085827337,1,0,1.23,0,1,6195.0,1,1620740441,-2.645915164521277,j8cw08n7q
0,31.0,0,0,0,0.8473317003090853,0,0,0.63372,3,1,68.0,2,1620740441,-0.28988624880095043,ib3n04boq
1,3.0,1,0,0,-0.4269862840574891,0,0,1.0,1,0,12.0,3,1620740441,0.6765321553240086,labq010d0
1,9.0,0,0,2,0.15019368112963088,0,0,0.6815680000000001,0,1,112.0,9,1620740441,1.975929531274675,j8qo14010
0,1.0,1,0,0,-0.8807389346057599,0,0,0.456784,1,0,16.0,2,1620740441,-0.28988624880095043,la7t01ppq
