x_files,x_size,drizcorr,pctecorr,crsplit,subarray,detector,dtype,instr,wallclock,memory,mem_bin,n_files,total_mb,bin_pred,mem_pred,wall_pred,ipst
1.780378844011241,2.3755351461524135,1,1,1,0,1,1,3,17442.0,35.54,3.0,9.0,279.1,,,,id6q01020
1.780378844011241,-0.06616998747424824,1,0,2,1,1,1,3,173.0,10.26,2.0,9.0,4.6,,,,ib1m02060
2.029439892755231,2.4528708432519615,1,0,0,0,0,1,3,955.0,23.71,3.0,15.0,327.6,,,,id6l09010
-3.268349504763833,0.4792186080528506,0,0,0,0,0,0,3,20.0,1.08,0.0,1.0,10.6,,,,iaaa02siq
-3.268349504763833,1.2363211345358267,0,1,1,0,1,0,3,690.0,0.03,0.0,1.0,34.9,,,,iaa903n1q
1.4312964254817069,2.1404182784251535,1,1,1,0,1,1,3,9794.0,17.96,3.0,6.0,174.5,,,,idan29020
1.84602245883181,0.6606150170855466,1,0,0,1,0,1,3,197.0,10.33,2.0,10.0,14.0,,,,ibr62a020
1.2118264449424265,-0.4683798426306697,1,1,1,1,1,1,3,543.0,5.79,1.0,5.0,2.4,,,,iaah14020
-3.268349504763833,1.2363211345358267,0,1,1,0,1,0,3,995.0,0.04,0.0,1.0,34.9,,,,iaab08ofq
0.32039365760636734,-0.8394993353295593,1,1,1,1,1,1,3,280.0,3.37,1.0,3.0,1.2,,,,iaau210e0
-3.268349504763833,1.2363211345358267,0,1,1,0,1,0,3,3091.0,0.03,0.0,1.0,34.9,,,,iaa302j6q
1.2118264449424265,1.9397141657900592,1,0,0,0,0,1,3,155.0,1.34,0.0,5.0,119.1,,,,ia2k14020
0.32039365760636734,-0.5189084397443972,1,0,0,1,0,1,3,43.0,1.1,0.0,3.0,2.2,,,,iaac13070
-3.268349504763833,0.4792186080528506,0,0,0,0,0,0,3,12.0,1.08,0.0,1.0,10.6,,,,iaaa01ugq
1.2118264449424265,2.024212441397373,1,1,1,0,1,1,3,5605.0,13.22,2.0,5.0,139.6,,,,ic2868010
1.2118264449424265,1.9397141657900592,1,0,0,0,0,1,3,140.0,1.2,0.0,5.0,119.1,,,,ia2k04010
1.2118264449424265,1.9397141657900592,1,0,0,0,0,1,3,162.0,0.02,0.0,5.0,119.1,,,,ia2818010
