n_files,total_mb,x_files,x_size,drizcorr,pctecorr,crsplit,subarray,detector,dtype,instr,wallclock,memory,mem_bin,bin_pred,mem_pred,wall_pred,ipst
7.0,105.0,1.445957743235434,1.593365427994908,1,1,2,0,1,1,3,3419.0,3.564828,1.0,,,,ia2l51030
7.0,105.0,1.445957743235434,1.593365427994908,1,1,2,0,1,1,3,3357.0,3.5601519999999995,1.0,,,,ia2l52030
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,937.0,1.0225,0.0,,,,iaa301ibq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,1177.0,1.023216,0.0,,,,iaa301icq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,1271.0,1.025188,0.0,,,,iaa301ieq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,1153.0,1.022016,0.0,,,,iaa301ifq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,1080.0,1.02436,0.0,,,,iaa301ihq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,1153.0,1.023428,0.0,,,,iaa301iiq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,1348.0,1.024764,0.0,,,,iaa302j3q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,959.0,1.024192,0.0,,,,iaa302j4q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,1104.0,1.021872,0.0,,,,iaa302j6q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,1309.0,1.024752,0.0,,,,iaa302j7q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,1262.0,1.023104,0.0,,,,iaa302j9q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,1077.0,1.023416,0.0,,,,iaa302jaq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,464.0,1.015924,0.0,,,,iaa901jwq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,674.0,1.024184,0.0,,,,iaa901jxq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,671.0,1.0237040000000002,0.0,,,,iaa901k0q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,629.0,1.02786,0.0,,,,iaa901k2q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,827.0,1.023916,0.0,,,,iaa901k4q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,866.0,1.024072,0.0,,,,iaa901k6q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,617.0,1.02416,0.0,,,,iaa901k8q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,593.0,1.0244719999999998,0.0,,,,iaa901kaq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,693.0,1.02516,0.0,,,,iaa901kdq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,642.0,1.024176,0.0,,,,iaa901kfq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,397.0,1.015348,0.0,,,,iaa901khq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,433.0,1.0157200000000002,0.0,,,,iaa902dtq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,648.0,1.025076,0.0,,,,iaa902dyq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,642.0,1.026076,0.0,,,,iaa902eaq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,637.0,1.023584,0.0,,,,iaa902emq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,1007.0,1.026304,0.0,,,,iaa902eyq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,1082.0,1.027764,0.0,,,,iaa902f0q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,921.0,1.025344,0.0,,,,iaa902f2q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,672.0,1.024936,0.0,,,,iaa902f4q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,633.0,1.025628,0.0,,,,iaa902f6q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,650.0,1.024064,0.0,,,,iaa902f8q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,421.0,1.015508,0.0,,,,iaa902fbq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,467.0,1.01562,0.0,,,,iaa903mwq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,715.0,1.0244719999999998,0.0,,,,iaa903mxq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,760.0,1.025024,0.0,,,,iaa903mzq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,655.0,1.023628,0.0,,,,iaa903n1q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,717.0,1.024668,0.0,,,,iaa903n3q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,709.0,1.026212,0.0,,,,iaa903n5q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,776.0,1.023976,0.0,,,,iaa903n7q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,766.0,1.024812,0.0,,,,iaa903n9q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,719.0,1.025384,0.0,,,,iaa903nbq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,648.0,1.023988,0.0,,,,iaa903ndq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,439.0,1.0157040000000002,0.0,,,,iaa903nfq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,910.0,1.0272,0.0,,,,iaab01010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,850.0,1.023608,0.0,,,,iaab01o7q
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,896.0,1.026648,0.0,,,,iaab02010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,823.0,1.024424,0.0,,,,iaab02b5q
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,913.0,1.027384,0.0,,,,iaab03010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,765.0,1.024624,0.0,,,,iaab03s4q
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,931.0,1.029468,0.0,,,,iaab04010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,809.0,1.02476,0.0,,,,iaab04oyq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,898.0,1.026676,0.0,,,,iaab05010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,795.0,1.022864,0.0,,,,iaab05xdq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,1009.0,1.02702,0.0,,,,iaab06010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,798.0,1.027032,0.0,,,,iaab06g6q
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,960.0,1.025608,0.0,,,,iaab07010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,820.0,1.024304,0.0,,,,iaab07ajq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,900.0,1.027508,0.0,,,,iaab08010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,783.0,1.0221559999999998,0.0,,,,iaab08ofq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,909.0,1.026228,0.0,,,,iaab09010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,826.0,1.024836,0.0,,,,iaab09ktq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,975.0,1.0301,0.0,,,,iaab10010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,769.0,1.0245879999999998,0.0,,,,iaab10cjq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,985.0,1.027584,0.0,,,,iaab11010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,815.0,1.024748,0.0,,,,iaab11amq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,918.0,1.026324,0.0,,,,iaab12010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,796.0,1.024428,0.0,,,,iaab12aoq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,921.0,1.026604,0.0,,,,iaab13010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,755.0,1.0242639999999998,0.0,,,,iaab13jkq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,908.0,1.026836,0.0,,,,iaab14010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,776.0,1.021828,0.0,,,,iaab14kvq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,1005.0,1.027412,0.0,,,,iaab15010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,644.0,1.024512,0.0,,,,iaab15sdq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,771.0,1.027092,0.0,,,,iaab16010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,768.0,1.025016,0.0,,,,iaab16hcq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,833.0,1.03134,0.0,,,,iaab17010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,803.0,1.02322,0.0,,,,iaab17d2q
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,867.0,1.026448,0.0,,,,iaab18010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,645.0,1.025024,0.0,,,,iaab18ynq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,833.0,1.025724,0.0,,,,iaab19010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,873.0,1.02416,0.0,,,,iaab19zwq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,862.0,1.026324,0.0,,,,iaab20010
