,Training Results
name,memory
kind,regression
scores,"{'train_acc': 0.0, 'train_loss': 0.18, 'test_acc': 0.0, 'test_loss': 0.13}"
predictions,"[[0.82 0.84]
 [0.82 0.84]
 [0.82 0.84]
 ...
 [2.81 2.78]
 [0.82 0.84]
 [1.01 1.03]]"
